,date_time,runTimeSeconds,runTimeMinutes,movingTimeSeconds,movingTimeMinutes,zone0Seconds,zone1Seconds,zone2Seconds,zone3Seconds,zone4Seconds,zone5Seconds,distanceM,distanceKM,avgHr,maxHr,minHr,calories,avgRunCadence,elevationGain,locationName,endLongitude,endLatitude
2,2025-02-04 09:41:24,5185.7568359375,86.42928059895833,5143.318006873131,85.72196678121885,0.0,0.0,30.102,90.824,1799.011,3231.573,15009.23046875,15.00923046875,167.0,184.0,119.0,5032.214019999999,81.0,6923.6419677734375,Wiltshire,-2.138616358861327,51.459611831232905
4,2025-02-02 12:43:04,1338.9139404296875,22.31523234049479,791.2180000543594,13.186966667572657,0.0,0.0,0.0,162.787,133.043,501.462,3005.93994140625,3.00593994140625,163.0,175.0,133.0,750.0135799999999,81.0,1527.2369384765625,Wiltshire,-2.117278380319476,51.4596361387521
7,2025-01-30 10:08:29,1402.9840087890625,23.383066813151043,1330.4779968261719,22.174633280436197,0.0,0.0,44.49,117.997,608.791,560.179,3658.330078125,3.658330078125,162.0,185.0,124.0,1219.2958199999998,73.0,952.4246215820312,Wiltshire,-2.1143252681940794,51.46072377450764
10,2025-01-28 11:11:56,2079.5859375,34.659765625,887.3499984741211,14.78916664123535,18.47,16.464,167.566,486.19,195.794,9.893,3489.93994140625,3.48993994140625,139.0,176.0,70.0,691.3533,82.0,1422.8572845458984,Wiltshire,-2.140382593497634,51.45997401326895
13,2025-01-23 15:22:38,1679.56103515625,27.992683919270835,1507.3290088176727,25.12215014696121,0.0,15.294,45.354,581.455,719.189,154.006,4009.010009765625,4.009010009765625,151.0,171.0,100.0,1248.6259599999998,77.0,1741.265869140625,Wiltshire,-2.13733677752316,51.464675925672054
14,2025-01-22 06:45:48,961.7979736328125,16.029966227213542,956.6240081787109,15.943733469645183,0.0,0.0,15.318,112.682,834.45,0.0,2451.3701171875,2.4513701171875,151.0,162.0,118.0,817.0538999999999,78.0,2204.859161376953,Wiltshire,-2.124148439615965,51.4697574544698
15,2025-01-16 04:15:09,3109.677978515625,51.82796630859375,3029.8870009183884,50.49811668197314,0.0,0.0,14.164,55.003,655.765,1747.367,8006.759765625,8.006759765625,174.0,190.0,,3159.27508,78.0,2023.8927841186523,Hikkaduwa Nagarikaya,80.09317668154836,6.156332362443209
16,2025-01-13 10:57:48,1912.990966796875,31.883182779947916,1811.8789978027344,30.19798329671224,0.0,14.054,35.0,280.096,898.303,522.342,5008.47998046875,5.00847998046875,160.0,189.0,,1701.1481199999998,78.0,2208.787441253662,Pelena West,80.43588453903794,5.973081663250923
17,2025-01-11 04:06:35,1057.6529541015625,17.62754923502604,1055.4349975585938,17.590583292643228,0.0,13.999,7.001,84.001,481.162,471.949,3008.6201171875,3.0086201171875,162.0,180.0,,997.22476,80.0,1509.2021942138672,Mirissa North,80.45681037940085,5.948463762179017
18,2025-01-05 05:10:07,1185.2900390625,19.754833984375,1184.489003419876,19.74148339033127,0.0,0.0,0.0,355.906,618.28,211.772,3007.919921875,3.007919921875,154.0,175.0,,1064.26508,78.0,2062.9379272460938,Inamaluwa,80.69056212902069,7.927303863689303
19,2025-01-03 03:49:37,1924.8919677734375,32.08153279622396,1757.0039845705032,29.28339974284172,0.551,19.001,10.999,348.706,648.559,733.005,5005.6298828125,5.0056298828125,160.0,177.0,,1613.1576999999997,80.0,260.579776763916,Negombo,79.83950114808977,7.216643448919058
20,2024-12-29 02:59:03,2068.72412109375,34.4787353515625,1535.6430053710938,25.59405008951823,0.0,0.0,0.0,63.383,48.0,830.884,4014.43994140625,4.01443994140625,180.0,189.0,,1743.0483199999999,79.0,2525.07963180542,Badung,115.13014658354223,-8.641096008941531
21,2024-12-27 07:49:24,1315.27001953125,21.9211669921875,952.0,15.866666666666667,0.0,19.883,55.594,148.236,730.29,0.0,2541.14990234375,2.54114990234375,151.0,166.0,,846.3840399999999,78.0,909.3658447265625,Badung,115.15829427167773,-8.63737209700048
22,2024-12-25 05:49:27,1383.95703125,23.065950520833333,1083.8520202636719,18.064200337727865,0.0,0.0,50.564,83.004,508.308,444.254,3477.18994140625,3.47718994140625,161.0,177.0,,1018.17486,79.0,3157.1313858032227,Badung,115.1360884308815,-8.640037793666124
23,2024-12-23 01:51:24,1117.2779541015625,18.62129923502604,1116.697998046875,18.61163330078125,0.0,15.001,34.999,176.999,599.644,291.897,3006.659912109375,3.006659912109375,157.0,174.0,,1026.5548999999999,78.0,878.2601356506348,Badung,115.14258725568652,-8.64379171282053
24,2024-12-23 01:48:47,900.9240112304688,15.01540018717448,900.5679931640625,15.009466552734375,0.0,10.474,14.0,229.111,648.349,0.0,2367.590087890625,2.367590087890625,152.0,165.0,,800.29382,79.0,80.00297546386719,Lombok Utara,116.03723882697523,-8.361238678917289
25,2024-12-20 10:10:02,1295.7889404296875,21.59648234049479,1223.010009765625,20.383500162760416,0.0,17.932,287.256,393.229,528.602,1.997,3099.35009765625,3.09935009765625,142.0,169.0,,984.6546999999999,70.0,977.9806435108185,Lombok Utara,116.04345065541565,-8.353755651041865
26,2024-12-19 02:55:12,2279.0869140625,37.984781901041664,2277.7760009765625,37.96293334960937,16.999,2.096,23.0,242.007,988.717,1008.705,6408.64990234375,6.40864990234375,162.0,184.0,,2166.24034,79.0,561.7284297943115,Lombok Utara,116.0411599650979,-8.358176853507757
